GeneID	Symbol	Synonyms	description	type_of_gene
113534285	tshz3a	-	teashirt zinc finger homeobox 3a	protein-coding
113534286	ssr3	-	signal sequence receptor, gamma	protein-coding
113534287	mbtps1	-	membrane-bound transcription factor peptidase, site 1	protein-coding
113534288	pskh1	-	protein serine kinase H1	protein-coding
113534289	nrn1la	nrn1l	neuritin 1-like a	protein-coding
113534290	nudt4a	-	nudix (nucleoside diphosphate linked moiety X)-type motif 4a	protein-coding
113534291	ube2na	ube2n	ubiquitin-conjugating enzyme E2Na	protein-coding
113534292	cbln1	-	cerebellin 1 precursor	protein-coding
113534293	cetp	-	cholesteryl ester transfer protein, plasma	protein-coding
113534294	necab2	-	N-terminal EF-hand calcium binding protein 2	protein-coding
113534295	cachd1	-	cache domain containing 1	protein-coding
113534296	LOC113534296	atg4db	cysteine protease atg4da	protein-coding
113534297	has3	-	hyaluronan synthase 3	protein-coding
113534298	chtf8	-	CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)	protein-coding
113534299	slc25a38a	slc25a38	solute carrier family 25 member 38a	protein-coding
113534300	lekr1	-	Leucine-, glutamate- and lysine-rich protein 1	protein-coding
113534301	LOC113534301	-	uncharacterized LOC113534301	ncRNA
113534302	LOC113534302	-	low choriolytic enzyme-like	protein-coding
113534303	tat	-	tyrosine aminotransferase	protein-coding
113534304	LOC113534304	-	excitatory amino acid transporter 1	protein-coding
113534305	utp4	-	UTP4 small subunit processome component	protein-coding
113534306	LOC113534306	-	uncharacterized LOC113534306	protein-coding
113534307	engl	-	endoglin, like	protein-coding
113534308	LOC113534308	-	trafficking protein particle complex subunit 5	protein-coding
113534309	rangap1a	-	RAN GTPase activating protein 1a	protein-coding
113534310	bcl7bb	bcl7b	BAF chromatin remodeling complex subunit BCL7B b	protein-coding
113534311	LOC113534311	lrrc49	leucine-rich repeat-containing protein 49	protein-coding
113534312	pigb	-	phosphatidylinositol glycan anchor biosynthesis, class B	protein-coding
113534313	LOC113534313	-	sphingosine kinase 1	protein-coding
113534314	LOC113534314	-	uncharacterized LOC113534314	ncRNA
113534315	wnt2	-	wingless-type MMTV integration site family member 2	protein-coding
113534316	LOC113534316	-	cytochrome b-c1 complex subunit Rieske, mitochondrial	protein-coding
113534317	lysmd2	-	LysM, putative peptidoglycan-binding, domain containing 2	protein-coding
113534318	myh9b	myh9	myosin, heavy chain 9b, non-muscle	protein-coding
113534319	aldh9a1a.1	aldh9a1	aldehyde dehydrogenase 9 family, member A1a, tandem duplicate 1	protein-coding
113534320	adamtsl7	thsd4	ADAMTS-like 7	protein-coding
113534321	LOC113534321	-	extracellular calcium-sensing receptor-like	protein-coding
113534323	si:dkey-12e7.1	-	uncharacterized LOC113534323	protein-coding
113534324	LOC113534324	-	protein mono-ADP-ribosyltransferase PARP12	protein-coding
113534325	wee2	-	WEE2 oocyte meiosis inhibiting kinase	protein-coding
113534326	si:dkey-5i3.5	-	uncharacterized LOC113534326	protein-coding
113534327	lrrc8c	-	leucine rich repeat containing 8 VRAC subunit C	protein-coding
113534328	si:ch211-106h11.1	-	volume-regulated anion channel subunit LRRC8D	protein-coding
113534329	mapk8ip2	-	mitogen-activated protein kinase 8 interacting protein 2	protein-coding
113534330	chkb	-	choline kinase beta	protein-coding
113534331	LOC113534331	-	gastricsin-like	protein-coding
113534333	tmem170a	-	transmembrane protein 170A	protein-coding
113534334	LOC113534334	-	collagen and calcium-binding EGF domain-containing protein 1	protein-coding
113534335	cfap45	-	cilia and flagella associated protein 45	protein-coding
113534336	endouc	-	endonuclease, polyU-specific C	protein-coding
113534337	snrpa	-	small nuclear ribonucleoprotein polypeptide A	protein-coding
113534338	LOC113534338	-	protein FAM180A	protein-coding
113534339	ces3	-	carboxylesterase 3	protein-coding
113534340	miso1	c18h3orf33|cunh3orf33	mitochondrial inner membrane subdomain organizer 1	protein-coding
113534341	rbm7	-	RNA binding motif protein 7	protein-coding
113534342	slc16a4	-	solute carrier family 16 member 4	protein-coding
113534343	gldn	-	gliomedin	protein-coding
113534344	LOC113534344	-	nuclear body protein SP140-like protein	protein-coding
113534345	asz1	-	ankyrin repeat, SAM and basic leucine zipper domain containing 1	protein-coding
113534346	mlc1	-	modulator of VRAC current 1	protein-coding
113534348	LOC113534348	-	cytoglobin-2	protein-coding
113534349	chka	-	choline kinase alpha	protein-coding
113534350	si:ch1073-459b3.2	-	growth arrest-specific protein 1	protein-coding
113534351	sema3ab	sema3a	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Ab	protein-coding
113534352	sema3e	-	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	protein-coding
113534353	bend7	-	BEN domain containing 7	protein-coding
113534354	farp2	-	FERM, RhoGEF and pleckstrin domain protein 2	protein-coding
